university_admission_code,university_code,university_name,institution_type,region,province,major_group_code,major_group_name,submajor_code,submajor_name,major_admission_code,major_code,major_name,admission_method,subject_combination,combination_group,cutoff_score,score_scale,cutoff_score_30,is_scale_40,weighted_subject,weighted_subject_factor,gender_requirement,honors_program,campus,cutoff_2021,cutoff_2022,cutoff_2023,cutoff_2024,years_observed,cutoff_avg_recent,cutoff_std_recent,cutoff_trend,history_ambiguous,job_category,mapping_basis,mapping_confidence,job_demand_level,job_posting_count,job_avg_salary_million,job_median_salary_million,job_avg_experience_months,note
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_2,7310101,Kinh tế và quản lý đô thị (ngành Kinh tế),THPTQG,D07,D,27.01,30,27.01,False,,,,,,,,27.099999999999998,27.01,2,27.05,0.04,Ổn định,False,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_3,7310101,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),THPTQG,A00,A,27.34,30,27.34,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.34,4,27.26,0.11,Ổn định,True,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_3,7310101,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),THPTQG,A01,A,27.34,30,27.34,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.34,4,27.26,0.11,Ổn định,True,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_3,7310101,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),THPTQG,D01,D,27.34,30,27.34,False,,,,,,27.55,27.333333333333332,27.099999999999998,27.34,4,27.26,0.11,Ổn định,True,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310101_3,7310101,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),THPTQG,D07,D,27.34,30,27.34,False,,,,,,,,27.099999999999998,27.34,2,27.22,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310104,7310104,Kinh tế đầu tư,THPTQG,A00,A,27.4,30,27.4,False,,,,,,27.7,27.5,27.5,27.4,4,27.47,0.05,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310104,7310104,Kinh tế đầu tư,THPTQG,A01,A,27.4,30,27.4,False,,,,,,27.7,27.5,27.5,27.4,4,27.47,0.05,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310104,7310104,Kinh tế đầu tư,THPTQG,D01,D,27.4,30,27.4,False,,,,,,27.7,27.5,27.5,27.4,4,27.47,0.05,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310104,7310104,Kinh tế đầu tư,THPTQG,D07,D,27.4,30,27.4,False,,,,,,,,,27.4,1,27.4,,Không đủ dữ liệu,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310105,7310105,Kinh tế phát triển,THPTQG,A00,A,27.2,30,27.2,False,,,,,,27.5,27.5,27.35,27.2,4,27.35,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
